UID;Total;Valid until;Remaining;Used;Type
9AE2790C;36;2029-03-10 23:59:59.000;14;22;PB Abo 2.5 uur
32BC03EE;22;2029-02-18 23:59:59.000;0;22;PB Abo 2.5 uur
D116B790;30;2029-07-06 23:59:59.000;10;20;PB Abo 2.5 uur
D15AAC50;30;2029-02-01 23:59:59.000;10;20;PB Abo 2.5 uur
F1B54A6D;30;2029-02-01 23:59:59.000;10;20;PB Abo 2.5 uur
1F6C57D2;26;2028-02-25 23:59:59.000;6;20;PB Abo 2.5 uur
23828112;20;2029-07-17 23:59:59.000;0;20;PB Abo 2.5 uur
1F6FB0F2;20;2028-02-14 23:59:59.000;0;20;PB Abo 2.5 uur
32C44D9E;20;2029-07-05 23:59:59.000;0;20;PB Abo 2.5 uur
3438CE0C;20;2029-08-04 23:59:59.000;0;20;PB Abo 2.5 uur
EA806CDC;20;2026-07-09 23:59:59.000;0;20;PB Abo 2.5 uur
1F6FB022;19;2027-08-16 23:59:59.000;1;18;PB Abo 2.5 uur
32D94BBE;19;2029-02-03 23:59:59.000;1;18;PB Abo 2.5 uur
E367B1A3;30;2027-07-21 23:59:59.000;14;16;PB Abo 2.5 uur
9AE127AC;29;2026-08-26 23:59:59.000;13;16;PB Abo 2.5 uur
237AB192;24;2029-02-11 23:59:59.000;8;16;PB Abo 2.5 uur
238322A2;24;2029-02-11 23:59:59.000;8;16;PB Abo 2.5 uur
D1179F20;20;2029-02-04 23:59:59.000;4;16;PB Abo 2.5 uur
E42E3F1D;20;2029-07-17 23:59:59.000;4;16;PB Abo 2.5 uur
238A06B2;19;2026-07-06 23:59:59.000;3;16;PB Abo 2.5 uur
90037A8E;18;2029-07-08 23:59:59.000;2;16;PB Abo 2.5 uur
C32226CE;17;2028-06-02 23:59:59.000;1;16;PB Abo 2.5 uur
99BB467D;28;2027-04-21 23:59:59.000;14;14;PB Abo 2.5 uur
32F870AE;25;2029-02-19 23:59:59.000;11;14;PB Abo 2.5 uur
3307CFFE;25;2029-02-19 23:59:59.000;11;14;PB Abo 2.5 uur
A5816094;20;2029-02-08 23:59:59.000;6;14;PB Abo 2.5 uur
EA82A81C;16;2027-02-25 23:59:59.000;2;14;PB Abo 2.5 uur
32D467EE;20;2029-02-11 23:59:59.000;8;12;PB Abo 2.5 uur
330826EE;20;2029-02-11 23:59:59.000;8;12;PB Abo 2.5 uur
A56E2F34;20;2028-07-08 23:59:59.000;8;12;PB Abo 2.5 uur
D9C4AAAC;18;2028-08-30 23:59:59.000;6;12;PB Abo 2.5 uur
EA74848C;18;2028-11-05 23:59:59.000;6;12;PB Abo 2.5 uur
1F6EEC62;14;2027-04-29 23:59:59.000;2;12;PB Abo 2.5 uur
1F6FB3D2;14;2027-04-29 23:59:59.000;2;12;PB Abo 2.5 uur
F1BE168D;13;2029-11-20 23:59:59.000;1;12;PB Abo 2.5 uur
1F6FB972;17;2027-08-31 23:59:59.000;6;11;PB Abo 2.5 uur
E42E454D;15;2028-02-05 23:59:59.000;4;11;PB Abo 2.5 uur
1F6F8D32;13;2028-02-23 23:59:59.000;3;10;PB Abo 2.5 uur
C6FDF6CD;12;2027-11-04 23:59:59.000;2;10;PB Abo 2.5 uur
09216072;10;2029-06-22 23:59:59.000;0;10;PB Abo 2.5 uur
1427F49C;10;2028-09-20 23:59:59.000;0;10;PB Abo 2.5 uur
142865AC;10;2027-02-10 23:59:59.000;0;10;PB Abo 2.5 uur
142A5AEC;10;2027-10-25 23:59:59.000;0;10;PB Abo 2.5 uur
142F7F4C;10;2029-02-03 23:59:59.000;0;10;PB Abo 2.5 uur
1F6C60D2;10;2026-08-18 23:59:59.000;0;10;PB Abo 2.5 uur
1F6C6692;10;2027-11-18 23:59:59.000;0;10;PB Abo 2.5 uur
1F6D3DF2;10;2029-02-02 23:59:59.000;0;10;PB Abo 2.5 uur
1F6F7DE2;10;2028-11-25 23:59:59.000;0;10;PB Abo 2.5 uur
1F6F84F2;10;2029-10-16 23:59:59.000;0;10;PB Abo 2.5 uur
1F70CBE2;10;2029-07-11 23:59:59.000;0;10;PB Abo 2.5 uur
1F72AC32;10;2026-07-05 23:59:59.000;0;10;PB Abo 4 uur
1F72B342;10;2027-02-21 23:59:59.000;0;10;PB Abo 2.5 uur
1F7416C2;10;2029-12-15 23:59:59.000;0;10;PB Abo 2.5 uur
237BA752;10;2029-10-01 23:59:59.000;0;10;PB Abo 2.5 uur
2384DCC2;10;2028-02-16 23:59:59.000;0;10;PB Abo 2.5 uur
238577B2;10;2026-07-04 23:59:59.000;0;10;PB Abo 2.5 uur
329CC3CE;10;2029-02-10 23:59:59.000;0;10;PB Abo 2.5 uur
329CC4AE;10;2029-02-23 23:59:59.000;0;10;PB Abo 2.5 uur
32A7A5FE;10;2029-02-24 23:59:59.000;0;10;PB Abo 2.5 uur
32B6691E;10;2029-02-20 23:59:59.000;0;10;PB Abo 2.5 uur
32B6694E;10;2029-02-12 23:59:59.000;0;10;PB Abo 2.5 uur
32B674BE;10;2029-02-20 23:59:59.000;0;10;PB Abo 2.5 uur
32B8814E;10;2029-02-24 23:59:59.000;0;10;PB Abo 4 uur
32BA038E;10;2029-02-27 23:59:59.000;0;10;PB Abo 2.5 uur
32BCA2BE;10;2029-02-03 23:59:59.000;0;10;PB Abo 2.5 uur
32BF66DE;10;2029-02-05 23:59:59.000;0;10;PB Abo 2.5 uur
32BFA0CE;10;2029-02-24 23:59:59.000;0;10;PB Abo 4 uur
32C4654E;10;2029-12-01 23:59:59.000;0;10;PB Abo 2.5 uur
32C76FBE;10;2029-02-24 23:59:59.000;0;10;PB Abo 2.5 uur
32C7820E;10;2029-10-16 23:59:59.000;0;10;PB Abo 2.5 uur
32D04D2E;10;2029-02-17 23:59:59.000;0;10;PB Abo 2.5 uur
32D3A67E;10;2029-02-16 23:59:59.000;0;10;PB Abo 2.5 uur
32D4283E;10;2029-11-25 23:59:59.000;0;10;PB Abo 2.5 uur
32D57F7E;10;2029-02-08 23:59:59.000;0;10;PB Abo 2.5 uur
32E1843E;10;2029-02-07 23:59:59.000;0;10;PB Abo 2.5 uur
32E1D67E;10;2029-02-25 23:59:59.000;0;10;PB Abo 2.5 uur
32FC32EE;10;2029-03-01 23:59:59.000;0;10;PB Abo 2.5 uur
331D9A9E;10;2029-02-04 23:59:59.000;0;10;PB Abo 2.5 uur
331DB18E;10;2029-02-18 23:59:59.000;0;10;PB Abo 4 uur
331E0BAE;10;2029-02-12 23:59:59.000;0;10;PB Abo 2.5 uur
5EBF132E;10;2029-02-12 23:59:59.000;0;10;PB Abo 2.5 uur
7F4A9E0E;10;2028-10-09 23:59:59.000;0;10;PB Abo 2.5 uur
7F4AA4DE;10;2027-02-10 23:59:59.000;0;10;PB Abo 2.5 uur
99AE8D7D;10;2027-10-14 23:59:59.000;0;10;PB Abo 2.5 uur
99B2C94D;10;2027-03-08 23:59:59.000;0;10;PB Abo 2.5 uur
99B4AC0D;10;2028-11-19 23:59:59.000;0;10;PB Abo 2.5 uur
99B58DED;10;2029-01-25 23:59:59.000;0;10;PB Abo 2.5 uur
99B5904D;10;2029-06-02 23:59:59.000;0;10;PB Abo 2.5 uur
99B825ED;10;2026-09-05 23:59:59.000;0;10;PB Abo 2.5 uur
99BB2E6D;10;2029-03-04 23:59:59.000;0;10;PB Abo 2.5 uur
9AE10C5C;10;2027-02-04 23:59:59.000;0;10;PB Abo 2.5 uur
9AE1224C;10;2026-04-09 23:59:59.000;0;10;PB Abo 2.5 uur
9AE1561C;10;2029-07-23 23:59:59.000;0;10;PB Abo 2.5 uur
9AE18E7C;10;2028-05-13 23:59:59.000;0;10;PB Abo 2.5 uur
9AE1E15C;10;2028-01-20 23:59:59.000;0;10;PB Abo 2.5 uur
9AE1F4DC;10;2027-07-22 23:59:59.000;0;10;PB Abo 2.5 uur
9AE8D52C;10;2026-07-28 23:59:59.000;0;10;PB Abo 2.5 uur
9AEA372C;10;2029-07-28 23:59:59.000;0;10;PB Abo 2.5 uur
9AEE485C;10;2027-07-28 23:59:59.000;0;10;PB Abo 4 uur
A56E3814;10;2028-02-24 23:59:59.000;0;10;PB Abo 2.5 uur
A5811024;10;2026-05-01 23:59:59.000;0;10;PB Abo 2.5 uur
A5816024;10;2029-04-22 23:59:59.000;0;10;PB Abo 2.5 uur
A5818204;10;2028-02-27 23:59:59.000;0;10;PB Abo 2.5 uur
A5824334;10;2028-07-22 23:59:59.000;0;10;PB Abo 2.5 uur
A5837084;10;2028-02-24 23:59:59.000;0;10;PB Abo 2.5 uur
A583B1C4;10;2027-02-22 23:59:59.000;0;10;PB Abo 2.5 uur
A5842A24;10;2027-02-26 23:59:59.000;0;10;PB Abo 2.5 uur
C31D029E;10;2026-07-28 23:59:59.000;0;10;PB Abo 2.5 uur
C6FC866D;10;2029-02-12 23:59:59.000;0;10;PB Abo 2.5 uur
C9578A6E;10;2029-11-14 23:59:59.000;0;10;PB Abo 2.5 uur
C95CE69E;10;2029-02-05 23:59:59.000;0;10;PB Abo 2.5 uur
D1229480;10;2028-02-03 23:59:59.000;0;10;PB Abo 2.5 uur
D1262AA0;10;2028-07-01 23:59:59.000;0;10;PB Abo 2.5 uur
